                                                                                
                                                                                
Sample,aX,aY,az,Temp,gX,gY,gz                                                   
114,1228,-10064,11652,-1840,-542,-157,-75                                       
115,1364,-10184,11596,-1824,-484,-235,-133                                      
116,1252,-10240,11620,-1872,-526,-200,-130                                      
117,1308,-10232,11588,-1888,-357,-158,0                                         
118,1180,-10248,11728,-1856,-372,-153,-53                                       
119,1384,-10188,11612,-1888,-447,-183,-98                                       
120,1232,-10152,11628,-1872,-500,-193,-87                                       
121,1260,-10220,11700,-1840,-450,-183,-87                                       
122,1164,-10048,11728,-1856,-398,-172,-50                                       
123,1304,-10196,11584,-1840,-612,-114,-74                                       
124,1292,-10220,11536,-1840,-387,-241,-53                                       
125,1244,-10124,11772,-1856,-577,-229,-149                                      
126,1360,-10188,11608,-1840,-477,-201,-102                                      
127,1320,-10248,11700,-1856,-427,-146,-90                                       
128,1180,-10204,11672,-1856,-350,-1ø                                            
Sample,aX,aY,az,Temp,gX,gY,gz                                                   
1,1176,-9844,11968,-1824,-524,-180,-127                                         
2,1208,-9804,11980,-1840,-460,-230,-119                                         
3,1208,-9908,11912,-1840,-626,-182,-147                                         
4,1224,-9920,11876,-1840,-652,-211,-179                                         
5,1244,-9968,11952,-1856,-618,-206,-155                                         
6,1268,-9976,11892,-1856,-561,-204,-116                                         
7,1224,-9836,11744,-1856,-591,-199,-124                                         
8,1256,-9956,11888,-1872,-628,-208,-147                                         
9,1292,-9960,11844,-1840,-462,-268,-123                                         
10,1196,-9880,11916,-1840,-562,-224,-112                                        
11,1252,-10016,11724,-1840,-488,-199,-97                                        
12,1356,-10004,11652,-1840,-394,-156,-67                                        
13,1232,-9824,11892,-1872,-454,-216,-100                                        
14,1336,-10000,11820,-1888,-493,-197,-91                                        
15,1220,-9792,11844,-1856,-516,-248,-109                                        
16,1212,-9860,11916,-1840,-541,-190,-126                                        
17,1260,-9848,11792,-1856,-501,-227,-118                                        
18,1304,-9884,11984,-1856,-485,-174,-111                                        
19,1224,-9928,11880,-1856,-499,-199,-113                                        
20,1244,-9936,11944,-1856,-488,-218,-74                                         
21,1204,-9900,11896,-1856,-480,-180,-82                                         
22,1260,-9916,11780,-1824,-507,-205,-85                                         
23,1236,-9968,11976,-1840,-457,-173,-59                                         
24,996,-9756,11832,-1840,-526,-339,-421                                         
25,1284,-10168,11740,-1840,-530,-145,-72                                        
26,1176,-9884,11932,-1840,-417,-193,-64                                         
27,1344,-9880,11876,-1808,-606,-221,-140                                        
28,1256,-9948,11784,-1840,-546,-206,-109                                        
29,1352,-9904,11864,-1840,-451,-164,-83                                         
30,1172,-9964,11840,-1840,-566,-157,-123                                        
31,1408,-9880,11852,-1872,-508,-195,-100                                        
32,1296,-9832,11900,-1808,-630,-190,-133                                        
33,1236,-9964,11960,-1840,-501,-199,-81                                         
34,1252,-9904,11760,-1840,-455,-178,-65                                         
35,1280,-9808,11812,-1840,-456,-196,-74                                         
36,1260,-9992,12060,-1872,-458,-205,-84                                         
37,1304,-9956,11988,-1856,-454,-198,-69                                         
38,1264,-9892,11880,-1856,-423,-173,-69                                         
39,1088,-9912,11780,-1856,-393,-141,-41                                         
40,1208,-9772,11736,-1856,-352,-188,-55                                         
41,1336,-9840,11944,-1840,-570,-177,-119                                        
42,1296,-9876,11940,-1808,-369,-250,-87                                         
43,1308,-9836,11996,-1808,-603,-200,-133                                        
44,1572,-10112,11816,-1840,-552,-215,-49                                        
45,1256,-9892,11980,-1840,-401,-104,-27                                         
46,1256,-9932,12024,-1840,-477,-175,-96                                         
47,1240,-9832,12008,-1840,-498,-174,-109                                        
48,1204,-9924,11912,-1840,-577,-237,-153                                        
49,1244,-9832,11872,-1808,-546,-157,-103                                        
50,1280,-9792,11952,-1840,-532,-155,-104                                        
51,1372,-9804,11916,-1824,-602,-203,-160                                        
52,1216,-9860,11908,-1824,-536,-208,-114                                        
53,1264,-9784,12004,-1808,-620,-207,-144                                        
54,1312,-9948,11948,-1824,-535,-217,-89                                         
55,1220,-9736,11880,-1856,-504,-169,-77                                         
56,1268,-9920,11920,-1840,-508,-184,-90                                         
57,1196,-9776,11756,-1840,-497,-131,-63                                         
58,1404,-9832,11808,-1840,-414,-148,-70                                         
59,1284,-9732,12064,-1856,-492,-174,-97                                         
60,1200,-9788,11976,-1824,-478,-172,-62                                         
61,1284,-9796,11864,-1888,-642,-143,-128                                        
62,1252,-9860,11944,-1856,-461,-141,-50                                         
63,1156,-9808,11764,-1824,-577,-154,-137                                        
64,1284,-9936,11748,-1824,-602,-179,-124                                        
65,1268,-9828,11796,-1824,-615,-150,-129                                        
66,1272,-9876,12008,-1856,-638,-146,-122                                        
67,1156,-9984,11848,-1824,-580,-176,-109                                        
68,1168,-9856,11996,-1824,-611,-170,-119                                        
69,1276,-9844,11988,-1840,-602,-136,-96                                         
70,1308,-10016,11852,-1824,-608,-172,-128                                       
71,1232,-9952,11916,-1840,-624,-153,-120                                        
72,1304,-9964,11700,-1840,-524,-139,-108                                        
73,1240,-9908,11956,-1872,-570,-149,-106                                        
74,1360,-9872,11900,-1840,-555,-154,-113                                        
75,1244,-9876,11820,-1840,-611,-144,-107                                        
76,1188,-10000,11832,-1840,-481,-291,-123                                       
77,1348,-10036,12044,-1840,-463,-162,-52                                        
78,1180,-9932,11820,-1824,-282,-118,27                                          
79,1140,-9844,11724,-1840,-340,-72,-4                                           
80,1100,-9944,11832,-1856,-347,-98,-34                                          
81,1108,-9876,11816,-1840,-513,-106,-52                                         
82,1292,-9916,11988,-1840,-606,-225,-157                                        
83,1248,-9904,11944,-1840,-659,-148,-103                                        
84,1372,-9912,11860,-1872,-718,-201,-173                                        
85,1232,-10000,11812,-1840,-614,-207,-129                                       
86,1216,-9876,11756,-1840,-757,-114,-133                                        
87,1264,-9804,11832,-1824,-685,-163,-156                                        
88,1188,-9896,11944,-1824,-750,-188,-157                                        
89,1028,-10492,11852,-1856,-786,-521,164                                        
90,1256,-10188,11740,-1856,-575,-106,-48                                        
91,1312,-9944,11812,-1824,-510,-193,-97                                         
92,1164,-10080,11716,-1824,-545,-169,-103                                       
93,1288,-10012,11752,-1856,-421,-182,-65                                        
94,1164,-9900,11800,-1840,-411,-129,-37                                         
95,1152,-10048,11780,-1856,-385,-126,0                                          
96,1276,-9796,11788,-1792,-499,-126,-47                                         
97,1148,-10136,11840,-1840,-433,-234,-52                                        
98,1144,-9832,11888,-1808,-672,-336,-166                                        
99,1268,-9988,11740,-1824,-893,-282,-228                                        
100,1224,-10004,11776,-1792,-588,-278,-88                                       
101,1272,-9944,11784,-1824,-921,-206,-234                                       
102,1300,-10108,11724,-1840,-644,-285,-131                                      
103,1328,-10020,11632,-1856,-756,-216,-205                                      
104,1372,-10124,11712,-1840,-477,-96,-29                                        
105,1252,-10072,11836,-1872,-417,-160,-37                                       
106,1268,-10148,11600,-1824,-437,-103,-63                                       
107,1212,-10092,11696,-1840,-270,-141,4                                         
108,1144,-10024,11692,-1840,-265,-93,16                                         
